icd10code,auc_ResNet_T(ALL2ALL)-E(ALL2ALL),auc_S4_T(ALL2ALL)-E(ALL2ALL),auc_S4_T(ALL2ALL)-E(ALL2HOSP),auc_S4_T(ALL2ALL)-E(ED2HOSP),auc_S4_T(ALL2ALL)-E(ED2ED),auc_S4_T(ALL2ALL)-E(ED2ALL),auc_S4_T(ED2ALL)-E(ED2ALL),auc_S4_T(ED2ALL)-E(ALL2ALL),auc_S4_T(ED2ED)-E(ALL2ALL),description,block,len,auc_ResNet_T(ALL2ALL)-E(ALL2ALL)_low,auc_ResNet_T(ALL2ALL)-E(ALL2ALL)_high,auc_S4_T(ALL2ALL)-E(ALL2ALL)_low,auc_S4_T(ALL2ALL)-E(ALL2ALL)_high,ecgs_S4_T(ALL2ALL)-E(ALL2ALL),total_ecgs_S4_T(ALL2ALL)-E(ALL2ALL),patients_S4_T(ALL2ALL)-E(ALL2ALL),total_patients_S4_T(ALL2ALL)-E(ALL2ALL),auc_S4_T(ALL2ALL)-E(ALL2HOSP)_low,auc_S4_T(ALL2ALL)-E(ALL2HOSP)_high,ecgs_S4_T(ALL2ALL)-E(ALL2HOSP),total_ecgs_S4_T(ALL2ALL)-E(ALL2HOSP),patients_S4_T(ALL2ALL)-E(ALL2HOSP),total_patients_S4_T(ALL2ALL)-E(ALL2HOSP),auc_S4_T(ALL2ALL)-E(ED2HOSP)_low,auc_S4_T(ALL2ALL)-E(ED2HOSP)_high,ecgs_S4_T(ALL2ALL)-E(ED2HOSP),total_ecgs_S4_T(ALL2ALL)-E(ED2HOSP),patients_S4_T(ALL2ALL)-E(ED2HOSP),total_patients_S4_T(ALL2ALL)-E(ED2HOSP),auc_S4_T(ALL2ALL)-E(ED2ED)_low,auc_S4_T(ALL2ALL)-E(ED2ED)_high,ecgs_S4_T(ALL2ALL)-E(ED2ED),total_ecgs_S4_T(ALL2ALL)-E(ED2ED),patients_S4_T(ALL2ALL)-E(ED2ED),total_patients_S4_T(ALL2ALL)-E(ED2ED),auc_S4_T(ALL2ALL)-E(ED2ALL)_low,auc_S4_T(ALL2ALL)-E(ED2ALL)_high,ecgs_S4_T(ALL2ALL)-E(ED2ALL),total_ecgs_S4_T(ALL2ALL)-E(ED2ALL),patients_S4_T(ALL2ALL)-E(ED2ALL),total_patients_S4_T(ALL2ALL)-E(ED2ALL),auc_S4_T(ED2ALL)-E(ED2ALL)_low,auc_S4_T(ED2ALL)-E(ED2ALL)_high,ecgs_S4_T(ED2ALL)-E(ED2ALL),total_ecgs_S4_T(ED2ALL)-E(ED2ALL),patients_S4_T(ED2ALL)-E(ED2ALL),total_patients_S4_T(ED2ALL)-E(ED2ALL),auc_S4_T(ED2ALL)-E(ALL2ALL)_low,auc_S4_T(ED2ALL)-E(ALL2ALL)_high,ecgs_S4_T(ED2ALL)-E(ALL2ALL),total_ecgs_S4_T(ED2ALL)-E(ALL2ALL),patients_S4_T(ED2ALL)-E(ALL2ALL),total_patients_S4_T(ED2ALL)-E(ALL2ALL),auc_S4_T(ED2ED)-E(ALL2ALL)_low,auc_S4_T(ED2ED)-E(ALL2ALL)_high,ecgs_S4_T(ED2ED)-E(ALL2ALL),total_ecgs_S4_T(ED2ED)-E(ALL2ALL),patients_S4_T(ED2ED)-E(ALL2ALL),total_patients_S4_T(ED2ED)-E(ALL2ALL),auc_ResNet_T(ED2ALL)-E(ED2ALL),auc_ResNet_T(ED2ALL)-E(ED2ALL)_low,auc_ResNet_T(ED2ALL)-E(ED2ALL)_high,total_patients_ResNet_T(ED2ALL)-E(ED2ALL),total_ecgs_ResNet_T(ED2ALL)-E(ED2ALL),patients_ResNet_T(ED2ALL)-E(ED2ALL),ecgs_ResNet_T(ED2ALL)-E(ED2ALL),chapter
I2109,0.9751150488044579,0.9827259697147482,0.9802547398950331,0.9935669155657668,0.9979804560260587,0.9952501954652071,0.9839718530101642,0.9669805599083076,,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,I00-I99,5,0.9474367797374724,0.9904008209705352,0.964663816988468,0.9950201734900476,57.0,14231,35.0,6171,0.9597799986600876,0.9939394921064376,57.0,11780,35.0,5026,0.9887850239872932,0.997301322221756,20.0,5243,18.0,2907,0.9951797723770142,1.0,2.0,7677,2.0,4197,0.9918310180306434,0.998457945883274,20.0,7694,18.0,4202,0.9594342261552812,0.997266449034214,20.0,7694,18.0,4202,0.9371001735329628,0.9871566370129584,57.0,14231,35.0,6171,,,,14231,,6171,0.9679893145686734,0.9207314729690552,0.997487124800682,4202,7694,18.0,20.0,IX
I210,0.9742078794794377,0.9819618166645175,0.9793991845571839,0.9931074095347502,0.9979804560260587,0.9948788115715402,0.9863760750586396,0.9684404781310748,,ST elevation (STEMI) myocardial infarction of anterior wall,I00-I99,4,0.9462864696979524,0.9898402497172356,0.9635523587465288,0.9944756507873536,58.0,14231,36.0,6171,0.9592498019337654,0.9933123216032982,58.0,11780,36.0,5026,0.987940602004528,0.9971611633896827,20.0,5243,18.0,2907,0.9951797723770142,1.0,2.0,7677,2.0,4197,0.991138932108879,0.998362497985363,20.0,7694,18.0,4202,0.966474722325802,0.9973401188850404,20.0,7694,18.0,4202,0.9400286734104156,0.9867345884442328,58.0,14231,36.0,6171,,,,14231,,6171,0.9693315089913996,0.923369924724102,0.9975095689296722,4202,7694,18.0,20.0,IX
I314,0.9362879642026637,0.9468069551123952,0.938495528109029,0.9820779965589754,,0.986516098238306,0.9785537620411352,0.9128699527869777,,Cardiac tamponade,I00-I99,4,0.9110487759113312,0.9566813707351683,0.9192849025130272,0.97166418582201,40.0,14231,30.0,6171,0.9079641923308372,0.9630369782447816,40.0,11780,30.0,5026,0.9707034409046174,0.9912989675998688,12.0,5243,11.0,2907,,,0.0,7677,0.0,4197,0.9775788158178328,0.993569967150688,12.0,7694,11.0,4202,0.965166611969471,0.9909995645284652,12.0,7694,11.0,4202,0.8776129737496376,0.9438729777932168,40.0,14231,30.0,6171,,,,14231,,6171,0.9823071248806734,0.9706669479608536,0.9914161816239356,4202,7694,11.0,12.0,IX
I447,0.956444639073031,0.9588828654697009,0.9543068395020653,0.9659837197045118,0.9903595622720166,0.971498658359105,0.9755065262870656,0.9574785195475892,,"Left bundle-branch block, unspecified",I00-I99,4,0.9394351929426192,0.971446904540062,0.9396565452218056,0.9742053464055062,141.0,14231,81.0,6171,0.9339277282357216,0.9707825541496276,141.0,11780,81.0,5026,0.9296954333782196,0.9856494575738908,46.0,5243,33.0,2907,0.9880145788192748,0.992443072795868,1.0,7677,1.0,4197,0.9439729541540146,0.9882143378257752,46.0,7694,33.0,4202,0.9617132514715194,0.9861469194293022,46.0,7694,33.0,4202,0.9410862550139428,0.9708236992359162,141.0,14231,81.0,6171,,,,14231,,6171,0.9685851373476442,0.945064727962017,0.9830900251865388,4202,7694,33.0,46.0,IX
K7291,0.9233881641141992,0.9090049674281098,0.8953935079856804,0.9592881306074422,0.917633259481298,0.9684335973881606,0.9452294873463992,0.8713401742896921,,"Hepatic failure, unspecified with coma",K00-K93,5,0.885797992348671,0.9561007648706435,0.8638948827981949,0.9462365671992302,41.0,14231,30.0,6171,0.8468852654099465,0.9393611639738084,41.0,11780,30.0,5026,0.917524941265583,0.9895908117294312,13.0,5243,13.0,2907,0.6757592931389809,1.0,4.0,7677,4.0,4197,0.9370020166039468,0.9908208250999452,13.0,7694,13.0,4202,0.8924287661910058,0.9882107719779014,13.0,7694,13.0,4202,0.8178885444998741,0.916587284207344,41.0,14231,30.0,6171,,,,14231,,6171,0.930267493215026,0.8240043476223946,0.9912059411406516,4202,7694,13.0,13.0,XI
I451,0.9351735013471938,0.9378255839906404,0.9334331052873547,0.9618064662784802,0.9915320479416363,0.9666904337492571,0.9643731431966727,0.9355761277551098,,Other and unspecified right bundle-branch block,I00-I99,4,0.9092314034700394,0.9579232469201088,0.9100669905543328,0.95891595184803,97.0,14231,61.0,6171,0.9044940069317818,0.9537604928016664,97.0,11780,61.0,5026,0.9504322737455368,0.9712229818105698,44.0,5243,35.0,2907,0.9894476532936096,0.9934853315353394,1.0,7677,1.0,4197,0.9566021502017976,0.9747928455471992,44.0,7694,35.0,4202,0.9542088225483896,0.9733491212129592,44.0,7694,35.0,4202,0.9087657526135444,0.95564656406641,97.0,14231,61.0,6171,,,,14231,,6171,0.9571093285799168,0.927219970524311,0.9755242064595222,4202,7694,35.0,44.0,IX
I4510,0.9365161832331093,0.9384963447706638,0.9341852818669405,0.9617889803983284,,0.9666696375519905,0.9643018419489007,0.9361388692371182,,Unspecified right bundle-branch block,I00-I99,5,0.9103694185614586,0.9592238172888756,0.9108816161751748,0.9602714359760284,96.0,14231,60.0,6171,0.905080533027649,0.9550540775060654,96.0,11780,60.0,5026,0.9502987936139108,0.9710752412676812,44.0,5243,35.0,2907,,,0.0,7677,0.0,4197,0.9566295206546784,0.9747896254062652,44.0,7694,35.0,4202,0.95456562936306,0.9729362860321998,44.0,7694,35.0,4202,0.909383063018322,0.9566870719194412,96.0,14231,60.0,6171,,,,14231,,6171,0.9569934640522876,0.9270178392529488,0.9754882603883744,4202,7694,35.0,44.0,IX
K7031,0.9158902691511387,0.9203906859186363,0.9111471736341664,0.9562954442172233,0.9843648208469056,0.9652920129700719,0.9727693712496739,0.8683182759269715,,Alcoholic cirrhosis of liver with ascites,K00-K93,5,0.8740997180342674,0.948035840690136,0.8854409143328666,0.952166898548603,63.0,14231,23.0,6171,0.8722844764590263,0.9455993711948396,62.0,11780,23.0,5026,0.9170629307627678,0.983459459245205,27.0,5243,15.0,2907,0.9736841917037964,0.9940065145492554,2.0,7677,1.0,4197,0.9354969084262847,0.9871313348412514,28.0,7694,15.0,4202,0.9472073659300804,0.9893589198589324,28.0,7694,15.0,4202,0.8132724031805992,0.9203663989901544,63.0,14231,23.0,6171,,,,14231,,6171,0.9612854533934628,0.9158707603812216,0.9878005504608154,4202,7694,15.0,28.0,XI
V422,0.9048801009204736,0.9204002088318859,0.9072023961927521,0.9538883208361737,,0.9650208445043452,0.9544609171581913,0.8918684403932851,,Person on outside of car injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,V01-Y98,4,0.8803651511669159,0.9265690639615058,0.9020548939704895,0.9377520918846132,63.0,14231,30.0,6171,0.8843625485897064,0.9277952149510384,63.0,11780,30.0,5026,0.938100452721119,0.9672588393092156,27.0,5243,18.0,2907,,,0.0,7677,0.0,4197,0.9521165654063224,0.9758309051394464,27.0,7694,18.0,4202,0.9377018064260484,0.9693659543991088,27.0,7694,18.0,4202,0.8583750069141388,0.918045285344124,63.0,14231,30.0,6171,,,,14231,,6171,0.9358530305445656,0.9057976037263872,0.956721006333828,4202,7694,18.0,27.0,XX
I255,0.9447161601180247,0.9489792515165071,0.9421893387237595,0.9548965895082866,,0.9648447691103574,0.9640061868733927,0.9310705401354459,,Ischemic cardiomyopathy,I00-I99,4,0.9270711958408356,0.9611829057335852,0.9305153250694276,0.9647966802120208,72.0,14231,40.0,6171,0.9208777725696564,0.9602645769715308,72.0,11780,40.0,5026,0.9353860437870024,0.9729997858405112,28.0,5243,23.0,2907,,,0.0,7677,0.0,4197,0.9489572316408156,0.9781435266137124,28.0,7694,23.0,4202,0.9411613449454308,0.9799634605646134,28.0,7694,23.0,4202,0.9042784348130226,0.951476050913334,72.0,14231,40.0,6171,,,,14231,,6171,0.9591144571577652,0.9290461391210556,0.9790026605129242,4202,7694,23.0,28.0,IX
